City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,iskateley,67.6803,53.1512,5.83,88,100,2.85,RU,1688946018
83,weissenhorn,48.305,10.1605,21.23,70,49,2.99,DE,1688946197
84,yerofey pavlovich,53.9667,121.9667,22.11,33,0,1.6,RU,1688946197
85,polyarnyy,69.1989,33.4478,5.6,84,28,0.94,RU,1688946018
86,sosnovka,56.255,51.2842,18.62,96,100,3.47,RU,1688946198
87,avarua,-21.2078,-159.775,28.03,78,4,5.14,CK,1688946198
88,zossen,52.2167,13.45,23.86,59,0,2.57,DE,1688946198
89,santa luzia,-19.7697,-43.8514,22.5,52,0,1.54,BR,1688946198
90,vorkuta,67.5,64.0,6.34,79,83,3.92,RU,1688946198
91,port alfred,-33.5906,26.891,12.32,74,84,3.58,ZA,1688946048
92,stanley,54.868,-1.6985,13.01,92,0,1.03,GB,1688946199
93,guer,47.9062,-2.1231,16.61,95,2,2.26,FR,1688946199
94,kilindoni,-7.9139,39.6668,24.82,77,12,3.91,TZ,1688946060
95,tezu,27.9167,96.1667,25.94,86,100,0.46,IN,1688946200
96,halifax,44.6453,-63.5724,24.94,90,54,2.57,CA,1688946200
97,sola,-13.8833,167.55,25.74,76,80,9.26,VU,1688946201
98,bonthe,7.5264,-12.505,24.81,90,100,3.3,SL,1688946201
99,geraldton,-28.7667,114.6,7.23,93,0,4.63,AU,1688945987
100,lakatoro,-16.0999,167.4164,26.7,58,12,5.46,VU,1688946201
101,ust'-kulom,61.6864,53.6902,11.3,87,100,2.3,RU,1688946202
102,franceville,-1.6333,13.5836,24.74,65,79,1.06,GA,1688946202
103,kruisfontein,-34.0033,24.7314,8.27,78,45,3.21,ZA,1688946076
104,tamanrasset,22.785,5.5228,28.95,14,0,2.57,DZ,1688946203
105,saint-philippe,-21.3585,55.7679,19.77,75,65,4.1,RE,1688945996
106,utrik,11.2278,169.8474,28.37,78,71,7.2,MH,1688946203
107,port mathurin,-19.6833,63.4167,23.52,63,29,10.31,MU,1688946203
108,ilulissat,69.2167,-51.1,12.01,62,100,0.0,GL,1688946204
109,tual,-5.6667,132.75,26.61,85,95,8.99,ID,1688946204
110,mendoza,-32.8908,-68.8272,10.74,62,0,1.03,AR,1688946121
111,khandyga,62.6667,135.6,17.97,34,57,2.39,RU,1688946034
112,qaqortoq,60.7167,-46.0333,9.46,71,14,0.86,GL,1688946205
113,santa rosalia,27.3167,-112.2833,30.88,57,4,4.01,MX,1688946205
114,yellowknife,62.456,-114.3525,18.29,32,75,7.2,CA,1688945971
115,vila velha,-20.3297,-40.2925,22.19,86,0,3.6,BR,1688946073
116,ust-nera,64.5667,143.2,10.59,45,14,2.03,RU,1688946205
117,san patricio,28.017,-97.5169,34.05,58,18,7.43,US,1688946206
118,sandnessjoen,66.0217,12.6316,11.47,89,76,1.34,NO,1688946206
119,chabahar,25.2919,60.643,28.45,79,64,5.38,IR,1688946206
120,bamboo flat,11.7,92.7167,24.05,100,75,1.03,IN,1688946206
121,corn island,12.1694,-83.0418,27.86,83,100,6.24,NI,1688946207
122,freetown,8.484,-13.2299,25.43,87,100,3.51,SL,1688946066
123,constantia,44.1833,28.65,18.38,58,22,4.93,RO,1688946207
124,chonglong,29.7806,104.8522,27.76,82,86,1.48,CN,1688946207
125,daru,-9.0763,143.2092,26.02,79,87,7.98,PG,1688946059
126,arkhangel'sk,64.5401,40.5433,5.18,85,88,2.5,RU,1688945937
127,mar del plata,-38.0023,-57.5575,8.94,92,75,3.58,AR,1688945979
128,haiku-pauwela,20.9219,-156.3051,28.01,56,20,9.26,US,1688946208
129,college,64.8569,-147.8028,25.88,42,75,1.54,US,1688946208
130,balasore,21.4942,86.9317,28.97,72,100,2.3,IN,1688946209
131,kasempa,-13.4584,25.8338,12.51,42,0,1.68,ZM,1688946209
132,mount gambier,-37.8333,140.7667,12.29,82,100,4.46,AU,1688945984
133,bunia,1.5667,30.25,16.34,82,53,0.66,CD,1688946209
134,west island,-12.1568,96.8225,24.99,69,40,5.14,CC,1688946210
135,ixtapa,20.7,-105.2,32.9,70,75,2.57,MX,1688946210
136,fish town,5.1964,-7.8756,21.46,99,87,1.31,LR,1688946210
137,anadyr,64.75,177.4833,18.28,45,20,3.0,RU,1688946210
138,zaragoza,41.6561,-0.8773,26.12,55,0,8.23,ES,1688946210
139,offa,8.15,4.7167,20.81,99,99,1.87,NG,1688946208
140,mount pearl,47.5166,-52.7813,13.03,96,100,3.6,CA,1688946213
141,oistins,13.0667,-59.5333,28.05,83,40,9.77,BB,1688945991
142,alofi,-19.0595,-169.9187,25.94,78,81,5.14,NU,1688946213
143,palmer,42.1584,-72.3287,25.23,80,100,0.0,US,1688946213
144,hobyo,5.3505,48.5268,25.21,78,74,12.03,SO,1688946213
145,portland,45.5234,-122.6762,31.94,40,20,3.6,US,1688946214
146,lampazos de naranjo,27.0167,-100.5167,39.45,24,0,7.06,MX,1688946214
147,parnamirim,-5.9156,-35.2628,24.94,94,40,4.63,BR,1688946172
148,afaahiti,-17.75,-149.2833,26.93,84,94,10.39,PF,1688946214
149,east london,-33.0153,27.9116,13.66,59,95,8.36,ZA,1688946215
150,klyuchi,52.2667,79.1667,17.71,55,71,3.47,RU,1688946215
151,kouroussa,10.65,-9.8833,22.72,94,71,1.09,GN,1688946215
152,margaret river,-33.95,115.0667,15.57,81,38,6.68,AU,1688946215
153,fale old settlement,-9.3852,-171.2468,28.8,76,100,7.07,TK,1688946215
154,villa ojo de agua,-29.5,-63.6938,14.0,97,100,3.77,AR,1688946064
155,bonny,4.4522,7.1681,24.91,88,99,2.84,NG,1688946216
156,bashmakovo,53.2133,43.0342,18.49,98,70,2.45,RU,1688946216
157,i-n-salah,27.1935,2.4607,36.08,12,0,7.94,DZ,1688946216
158,kerikeri,-35.2268,173.9474,15.51,89,43,1.34,NZ,1688946217
159,cururupu,-1.8283,-44.8683,23.51,95,14,1.42,BR,1688946217
160,udachny,66.4167,112.4,23.03,46,14,9.03,RU,1688946217
161,vorgashor,67.5833,63.95,5.99,79,83,4.11,RU,1688946217
162,port lincoln,-34.7333,135.8667,14.37,72,77,6.53,AU,1688946217
163,cill airne,52.05,-9.5167,13.24,85,98,2.26,IE,1688946218
164,fauske,67.2588,15.3918,9.02,87,60,0.68,NO,1688946218
165,beyneu,45.3167,55.2,29.18,24,100,4.88,KZ,1688946218
166,berezovyy,51.6667,135.7,22.17,47,82,3.08,RU,1688946218
167,thompson,55.7435,-97.8558,12.09,66,75,3.6,CA,1688945995
168,oliver,49.1831,-119.5524,32.14,27,44,2.57,CA,1688946219
169,touros,-5.1989,-35.4608,25.16,82,9,4.94,BR,1688946024
170,dauphin,51.1494,-100.0502,17.08,72,100,3.09,CA,1688946064
171,queenstown,-31.8976,26.8753,3.67,90,100,2.38,ZA,1688946033
172,leer,53.2316,7.461,18.86,96,99,1.57,DE,1688946142
173,riosucio,5.4216,-75.7032,16.28,95,66,0.66,CO,1688946220
174,nova sintra,14.8667,-24.7167,21.9,80,21,10.08,CV,1688946220
175,remire-montjoly,4.9167,-52.2667,25.02,88,20,0.0,GF,1688946160
176,la paz,-16.5,-68.15,11.99,14,60,2.06,BO,1688946008
177,hola,51.5377,23.1902,14.34,100,1,1.8,PL,1688946221
178,beloyarskiy,63.7119,66.6722,13.39,97,98,2.74,RU,1688946213
179,tuy hoa,13.0833,109.3,25.53,81,97,2.36,VN,1688946222
180,aras-asan,8.8908,126.3033,27.92,74,88,0.55,PH,1688946222
181,san sebastian de la gomera,28.0916,-17.1133,24.2,73,0,2.57,ES,1688946222
182,dhidhdhoo,6.8833,73.1,28.16,74,62,5.86,MV,1688946222
183,ringkobing,56.0901,8.244,18.34,88,100,1.49,DK,1688946223
184,scarborough,54.2797,-0.4044,13.85,90,44,0.89,GB,1688946223
185,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,88,75,3.0,RU,1688945945
186,atafu village,-8.5421,-172.5159,28.94,77,100,7.4,TK,1688945999
187,pisco,-13.7,-76.2167,20.03,77,0,5.66,PE,1688946224
188,callao,-12.0667,-77.15,23.18,73,0,6.17,PE,1688946203
189,jinghong,21.991,100.7341,22.4,97,100,0.33,CN,1688946225
190,dryden,49.7833,-92.7503,18.16,72,100,6.69,CA,1688946225
191,kutum,14.2,24.6667,24.31,56,99,2.53,SD,1688946042
192,kachug,53.9606,105.8817,18.72,90,100,0.89,RU,1688946225
193,ha'il,27.5219,41.6907,27.01,19,0,2.06,SA,1688946008
194,longyearbyen,78.2186,15.6401,6.91,81,75,4.12,SJ,1688945953
195,tshabong,-26.05,22.45,1.96,44,0,4.44,BW,1688946226
